transaction_id,event_ts,customer_id,merchant_id,channel,transaction_amount_usd,txn_country,txn_hour,device_risk_score,new_device_flag,velocity_1h,velocity_24h,geo_distance_km,merchant_risk_score,is_night_flag,alert_generated,fraud_label,triage_score,priority_tier,investigation_sla_hours,manual_review_outcome
T100000,2025-04-28 17:04:00,C100000,M100000,Wire,9.75,BR,9,0.13,1,0,2,2634.0,0.148,0,1,0,21.9,Review Later,48,False Positive
T100001,2025-04-02 15:32:00,C100001,M100001,Wire,120.84,AE,19,0.056,0,1,2,1997.5,0.071,0,1,1,39.8,Review Later,48,Escalated
T100002,2025-03-24 21:08:00,C100002,M100002,Online Banking,27.81,BR,20,0.288,1,0,1,1583.3,0.074,0,1,0,27.7,Review Later,48,Cleared
T100003,2025-01-23 04:30:00,C100003,M100003,Card Not Present,45.64,SG,12,0.359,1,1,2,3099.3,0.365,0,1,1,41.2,Medium,12,Escalated
T100004,2025-03-15 06:23:00,C100004,M100004,P2P,181.5,DE,8,0.112,0,1,3,2237.4,0.1,0,1,0,44.0,Medium,12,False Positive
T100005,2025-02-21 02:51:00,C100005,M100005,Wire,276.41,IN,18,0.138,0,4,6,424.9,0.612,0,1,0,60.6,Medium,12,False Positive
T100006,2025-01-08 20:11:00,C100006,M100006,P2P,139.32,SG,9,0.408,0,2,2,4978.8,0.39,0,1,0,54.0,Medium,12,Cleared
T100007,2025-01-24 06:13:00,C100007,M100007,Card Present,20.07,BR,18,0.211,1,3,6,5177.6,0.449,0,1,0,33.6,Review Later,48,Cleared
T100008,2025-04-09 13:29:00,C100008,M100008,Wire,76.97,AE,19,0.673,0,1,3,1445.8,0.23,0,1,0,48.6,Medium,12,Cleared
T100009,2025-03-24 15:28:00,C100009,M100009,P2P,12.84,SG,1,0.337,0,1,4,2092.3,0.155,1,1,1,25.9,Review Later,48,Escalated
T100010,2025-02-24 20:41:00,C100010,M100010,Wire,18.75,IN,19,0.125,0,0,2,1578.3,0.077,0,1,1,22.5,Review Later,48,Blocked
T100011,2025-02-07 06:51:00,C100011,M100011,Card Not Present,29.77,IN,23,0.072,0,4,7,1484.4,0.177,1,1,0,27.6,Review Later,48,Cleared
T100012,2025-01-24 15:46:00,C100012,M100012,Card Present,70.25,BR,1,0.394,0,1,3,2581.1,0.341,1,1,0,46.0,Medium,12,False Positive
T100013,2025-03-13 19:22:00,C100013,M100013,Card Present,240.13,AE,23,0.196,1,0,0,1471.8,0.181,1,1,0,48.5,Medium,12,Cleared
T100014,2025-03-09 13:30:00,C100014,M100014,Card Not Present,36.84,BR,2,0.607,0,1,2,4957.1,0.201,1,1,1,38.3,Review Later,48,Blocked
T100015,2025-04-29 09:13:00,C100015,M100015,Wire,144.13,US,15,0.36,0,1,4,1771.7,0.269,0,1,0,50.6,Medium,12,False Positive
T100016,2025-02-08 20:20:00,C100016,M100016,Card Present,307.5,DE,4,0.215,0,1,2,1236.2,0.136,1,1,0,51.3,Medium,12,False Positive
T100017,2025-03-24 06:18:00,C100017,M100017,P2P,53.18,AE,14,0.188,0,2,5,1650.5,0.378,0,1,0,40.9,Medium,12,False Positive
T100018,2025-04-29 05:05:00,C100018,M100018,Card Not Present,33.98,DE,20,0.038,1,1,3,1237.8,0.155,0,1,0,27.8,Review Later,48,False Positive
T100019,2025-01-16 13:28:00,C100019,M100019,Online Banking,23.12,AE,9,0.444,0,1,5,2055.9,0.442,0,1,0,37.9,Review Later,48,Cleared
T100020,2025-03-18 10:00:00,C100020,M100020,P2P,566.5,IN,22,0.575,0,1,7,6515.3,0.148,0,1,1,61.0,Medium,12,Confirmed Fraud
T100021,2025-03-14 17:55:00,C100021,M100021,P2P,815.22,BR,2,0.46,0,0,0,1020.1,0.427,1,1,0,67.1,Medium,12,False Positive
T100022,2025-03-11 03:08:00,C100022,M100022,Card Present,89.0,US,0,0.7,0,4,6,17.3,0.323,1,1,1,37.9,Review Later,48,Confirmed Fraud
T100023,2025-01-13 09:42:00,C100023,M100023,Card Present,261.13,BR,21,0.294,1,2,4,2212.2,0.176,0,1,1,51.0,Medium,12,Confirmed Fraud
T100024,2025-02-08 10:36:00,C100024,M100024,Card Present,36.63,AE,23,0.459,0,8,10,1287.1,0.071,1,1,0,42.7,Medium,12,False Positive
T100025,2025-04-11 10:40:00,C100025,M100025,Card Not Present,59.95,AE,0,0.786,0,0,4,1314.6,0.072,1,1,0,43.6,Medium,12,Cleared
T100026,2025-03-17 15:21:00,C100026,M100026,Card Present,47.93,IN,11,0.618,1,0,2,2025.9,0.174,0,1,1,41.0,Medium,12,Confirmed Fraud
T100027,2025-02-26 23:52:00,C100027,M100027,Online Banking,354.44,AE,14,0.517,0,2,4,1.5,0.232,0,1,0,44.5,Medium,12,Cleared
T100028,2025-02-25 15:58:00,C100028,M100028,Wire,27.77,SG,21,0.286,0,1,6,2167.7,0.171,0,1,0,30.1,Review Later,48,Cleared
T100029,2025-04-13 05:36:00,C100029,M100029,P2P,709.13,NG,16,0.454,0,1,3,2042.7,0.269,0,1,0,62.8,Medium,12,False Positive
T100030,2025-02-28 19:54:00,C100030,M100030,Card Present,19.12,SG,23,0.171,0,0,5,1371.0,0.012,1,1,0,21.7,Review Later,48,False Positive
T100031,2025-03-26 06:58:00,C100031,M100031,P2P,172.72,AE,13,0.475,0,0,2,1097.8,0.175,0,1,0,51.0,Medium,12,False Positive
T100032,2025-02-22 15:40:00,C100032,M100032,Wire,556.93,SG,6,0.029,0,0,1,194.1,0.228,0,1,0,54.8,Medium,12,Cleared
T100033,2025-03-15 18:47:00,C100033,M100033,P2P,10.46,GB,2,0.337,1,2,5,2364.9,0.092,1,1,0,23.7,Review Later,48,False Positive
T100034,2025-04-07 05:46:00,C100034,M100034,P2P,45.87,DE,0,0.269,0,2,3,2875.0,0.213,1,1,0,36.1,Review Later,48,False Positive
T100035,2025-04-15 23:25:00,C100035,M100035,Card Present,15.13,AE,14,0.452,0,2,3,4605.8,0.052,0,1,0,25.7,Review Later,48,Cleared
T100036,2025-04-04 23:32:00,C100036,M100036,Online Banking,40.08,SG,11,0.209,0,1,3,2674.0,0.443,0,1,0,39.3,Review Later,48,Cleared
T100037,2025-02-14 18:16:00,C100037,M100037,Online Banking,233.53,GB,2,0.171,0,1,1,3766.8,0.37,1,1,0,52.8,Medium,12,False Positive
T100038,2025-04-18 09:13:00,C100038,M100038,Card Not Present,327.94,AE,0,0.457,0,1,4,4599.0,0.163,1,1,0,56.2,Medium,12,False Positive
T100039,2025-04-18 13:50:00,C100039,M100039,P2P,119.73,IN,20,0.342,1,3,8,2618.1,0.319,0,1,1,50.3,Medium,12,Confirmed Fraud
T100040,2025-01-03 10:56:00,C100040,M100040,Card Not Present,229.01,GB,13,0.217,0,0,1,1869.6,0.612,0,1,0,59.4,Medium,12,Cleared
T100041,2025-04-15 17:11:00,C100041,M100041,Wire,110.91,IN,20,0.467,0,3,7,1600.1,0.021,0,1,0,43.9,Medium,12,False Positive
T100042,2025-02-17 17:12:00,C100042,M100042,Card Present,52.12,GB,5,0.454,0,1,3,4322.0,0.323,1,1,0,43.2,Medium,12,Cleared
T100043,2025-02-01 16:05:00,C100043,M100043,P2P,3.46,IN,9,0.275,0,0,3,52.5,0.033,0,1,0,5.0,Review Later,48,False Positive
T100044,2025-04-22 09:10:00,C100044,M100044,Online Banking,78.76,SG,15,0.156,0,3,9,1786.8,0.329,0,1,0,53.6,Medium,12,False Positive
T100045,2025-03-26 05:15:00,C100045,M100045,Wire,18.79,US,4,0.3,0,0,0,1925.3,0.114,1,1,0,26.1,Review Later,48,Cleared
T100046,2025-04-18 02:34:00,C100046,M100046,P2P,17.04,BR,5,0.29,0,0,2,2999.0,0.478,1,1,1,34.5,Review Later,48,Escalated
T100047,2025-04-01 22:55:00,C100047,M100047,Card Present,124.34,DE,13,0.054,0,1,6,1224.2,0.25,0,1,0,44.5,Medium,12,False Positive
T100048,2025-04-19 13:34:00,C100048,M100048,Online Banking,86.99,BR,20,0.313,1,0,1,4639.3,0.332,0,1,0,47.1,Medium,12,False Positive
T100049,2025-01-18 23:40:00,C100049,M100049,Card Not Present,142.46,DE,10,0.22,1,1,2,2965.5,0.234,0,1,0,47.5,Medium,12,False Positive
T100050,2025-02-15 22:14:00,C100050,M100050,Card Present,154.91,CA,23,0.579,1,1,10,22.2,0.23,1,1,0,48.3,Medium,12,False Positive
