transaction_id,event_ts,customer_id,merchant_id,channel,transaction_amount_usd,txn_country,txn_hour,device_risk_score,new_device_flag,velocity_1h,velocity_24h,geo_distance_km,merchant_risk_score_x,is_night_flag,alert_generated,fraud_label,customer_match,merchant_match,age,tenure_months,segment,home_country,digital_only,kyc_risk_band,synthetic_identity_score,merchant_category,merchant_risk_score_y,channel_default,risk_score_v2,risk_category_v2,recommended_action,sla_priority,top_reason_codes,reason_code_1,reason_code_2,reason_code_3,reason_codes
T9028450,2025-01-12 06:38:00,C100000,M100000,Card Present,70.46,US,4,0.747,1,1,2,3.0,0.474,1,0,0,True,True,32.0,1970-04-26,Affluent,US,1.0,Medium,0.084,Utilities,0.554,Card Not Present,37.30285000000001,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'Night-time transaction', 'Elevated device risk']",New device activity,Night-time transaction,Elevated device risk,New device activity | Night-time transaction | Elevated device risk
T9050670,2025-01-20 04:18:00,C100001,M100001,P2P,36.12,DE,3,0.197,0,1,3,1488.6,0.218,1,1,0,True,True,64.0,1970-07-02,Mass,IN,1.0,Low,0.279,Digital Wallet,0.162,P2P,56.91095,High Risk,Immediate escalation,Same day review,"['Night-time transaction', 'High-risk transaction channel', 'Geographic anomaly']",Night-time transaction,High-risk transaction channel,Geographic anomaly,Night-time transaction | High-risk transaction channel | Geographic anomaly
T9015811,2025-03-16 21:19:00,C100002,M100002,Card Not Present,156.38,SG,10,0.393,0,3,6,136.2,0.632,0,0,0,True,True,49.0,1970-07-10,SME,IN,1.0,Low,0.269,Travel,0.449,Card Not Present,23.23605,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated merchant risk', 'High short-term transaction velocity', 'Geographic anomaly']",Elevated merchant risk,High short-term transaction velocity,Geographic anomaly,Elevated merchant risk | High short-term transaction velocity | Geographic anomaly
T9014668,2025-02-24 19:35:00,C100003,M100003,Card Present,97.55,US,6,0.125,0,3,5,30.5,0.632,0,0,0,False,True,,,,,,,,Electronics,0.315,Online Banking,21.08355,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated merchant risk', 'High short-term transaction velocity']",Elevated merchant risk,High short-term transaction velocity,,Elevated merchant risk | High short-term transaction velocity
T9057899,2025-01-30 14:22:00,C100004,M100004,Online Banking,160.49,AE,12,0.138,0,1,3,3.1,0.097,0,0,0,False,True,,,,,,,,Telecom,0.079,Online Banking,7.59555,Low Risk,Monitor / sample audit,Weekly monitoring,['No major behavioural trigger'],No major behavioural trigger,,,No major behavioural trigger
T9033198,2025-03-16 07:26:00,C100005,M100005,Card Present,11.27,IN,5,0.215,0,1,2,53.7,0.378,1,0,0,False,True,,,,,,,,Fuel,0.442,P2P,19.91595,Low Risk,Monitor / sample audit,Weekly monitoring,"['Night-time transaction', 'Elevated merchant risk', 'Geographic anomaly']",Night-time transaction,Elevated merchant risk,Geographic anomaly,Night-time transaction | Elevated merchant risk | Geographic anomaly
T9003425,2025-03-19 22:45:00,C100006,M100006,Card Not Present,40.15,US,5,0.329,0,1,3,22.5,0.19,1,0,0,True,True,71.0,1970-04-22,Mass,CA,1.0,Medium,0.279,Marketplace,0.365,Card Not Present,19.948249999999998,Low Risk,Monitor / sample audit,Weekly monitoring,['Night-time transaction'],Night-time transaction,,,Night-time transaction
T9038500,2025-04-03 00:00:00,C100007,M100007,Card Not Present,43.65,IN,15,0.404,0,1,2,73.6,0.355,0,0,0,True,True,42.0,1970-05-10,Mass,US,0.0,Low,0.409,Electronics,0.148,Card Present,8.25825,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated device risk', 'Geographic anomaly']",Elevated device risk,Geographic anomaly,,Elevated device risk | Geographic anomaly
T9005360,2025-03-24 17:34:00,C100008,M100008,P2P,19.0,AE,1,0.287,0,0,1,3908.4,0.171,1,0,0,True,True,24.0,1970-01-22,Affluent,SG,1.0,Low,0.249,Digital Wallet,0.519,Wire,86.2234,High Risk,Immediate escalation,Same day review,"['Night-time transaction', 'High-risk transaction channel', 'Geographic anomaly']",Night-time transaction,High-risk transaction channel,Geographic anomaly,Night-time transaction | High-risk transaction channel | Geographic anomaly
T9053944,2025-03-11 02:30:00,C100009,M100009,P2P,298.57,IN,18,0.204,1,0,2,22.2,0.143,0,0,0,False,True,,,,,,,,Telecom,0.319,Wire,34.40545,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'High-risk transaction channel']",New device activity,High-risk transaction channel,,New device activity | High-risk transaction channel
T9053021,2025-03-26 05:54:00,C100010,M100010,Online Banking,192.21,UK,11,0.145,1,4,5,13.7,0.075,0,0,0,True,True,33.0,1970-07-11,Mass,US,0.0,Low,0.082,Gaming,0.092,Card Present,44.753,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'High short-term transaction velocity', 'Higher-risk merchant category']",New device activity,High short-term transaction velocity,Higher-risk merchant category,New device activity | High short-term transaction velocity | Higher-risk merchant category
T9000144,2025-04-11 14:08:00,C100011,M100011,Card Not Present,31.15,DE,13,0.105,0,1,7,4008.5,0.155,0,0,0,True,True,47.0,1970-06-21,Mass,AE,1.0,Low,0.413,Fuel,0.203,Wire,69.67699999999999,High Risk,Immediate escalation,Same day review,"['Geographic anomaly', 'Higher-risk merchant category']",Geographic anomaly,Higher-risk merchant category,,Geographic anomaly | Higher-risk merchant category
T9062457,2025-03-27 09:39:00,C100012,M100012,Card Present,61.46,CA,8,0.389,0,0,2,5.4,0.23,0,0,0,True,True,76.0,1970-02-21,Affluent,US,0.0,Low,0.022,Telecom,0.071,Online Banking,1.21275,Low Risk,Monitor / sample audit,Weekly monitoring,['No major behavioural trigger'],No major behavioural trigger,,,No major behavioural trigger
T9038883,2025-04-06 15:56:00,C100013,M100013,Online Banking,32.12,SG,21,0.432,0,3,6,36.6,0.206,0,0,0,True,True,51.0,1970-06-27,SME,US,0.0,Low,0.061,Travel,0.578,Card Not Present,21.6879,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated device risk', 'High short-term transaction velocity']",Elevated device risk,High short-term transaction velocity,,Elevated device risk | High short-term transaction velocity
T9016274,2025-01-02 20:12:00,C100014,M100014,Card Not Present,91.28,US,12,0.443,0,2,6,6.8,0.08,0,0,0,True,True,66.0,1970-01-17,Affluent,UK,1.0,Low,0.154,Gaming,0.302,P2P,15.22475,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated device risk', 'High short-term transaction velocity', 'Higher-risk merchant category']",Elevated device risk,High short-term transaction velocity,Higher-risk merchant category,Elevated device risk | High short-term transaction velocity | Higher-risk merchant category
T9045405,2025-03-05 14:43:00,C100015,M100015,Online Banking,17.89,IN,4,0.23,0,0,1,4.3,0.299,1,0,0,True,True,70.0,1970-01-21,Affluent,IN,1.0,Low,0.15,Luxury,0.109,P2P,12.66685,Low Risk,Monitor / sample audit,Weekly monitoring,['Night-time transaction'],Night-time transaction,,,Night-time transaction
T9008668,2025-01-04 09:47:00,C100016,M100016,Card Present,140.39,US,20,0.171,0,1,4,19.3,0.12,0,0,0,False,True,,,,,,,,Telecom,0.021,Card Present,8.350249999999999,Low Risk,Monitor / sample audit,Weekly monitoring,['No major behavioural trigger'],No major behavioural trigger,,,No major behavioural trigger
T9023000,2025-04-04 21:54:00,C100017,M100017,Card Present,129.62,IN,23,0.434,0,1,1,3.4,0.388,1,0,0,True,True,62.0,1970-01-15,Affluent,AE,1.0,Low,0.068,Electronics,0.209,Wire,18.717699999999997,Low Risk,Monitor / sample audit,Weekly monitoring,"['Night-time transaction', 'Elevated device risk', 'Elevated merchant risk']",Night-time transaction,Elevated device risk,Elevated merchant risk,Night-time transaction | Elevated device risk | Elevated merchant risk
T9029944,2025-02-28 05:23:00,C100018,M100018,Card Present,12.16,AE,17,0.429,0,1,3,14.6,0.16,0,0,0,True,True,51.0,1970-04-26,SME,UK,1.0,Low,0.09,Luxury,0.637,Online Banking,7.85025,Low Risk,Monitor / sample audit,Weekly monitoring,['Elevated device risk'],Elevated device risk,,,Elevated device risk
T9031425,2025-01-17 16:04:00,C100019,M100019,Card Present,25.57,DE,1,0.378,0,1,1,932.2,0.561,1,0,0,True,True,64.0,1970-03-19,Mass,US,1.0,Low,0.138,Fuel,0.218,Card Not Present,32.66165,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'Elevated merchant risk', 'Geographic anomaly']",Night-time transaction,Elevated merchant risk,Geographic anomaly,Night-time transaction | Elevated merchant risk | Geographic anomaly
T9023503,2025-04-29 02:14:00,C100020,M100020,Online Banking,186.41,IN,20,0.55,0,1,3,8.7,0.145,0,0,0,True,True,58.0,1970-06-21,Mass,US,0.0,Low,0.022,Gaming,0.101,P2P,7.78975,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated device risk', 'Higher-risk merchant category']",Elevated device risk,Higher-risk merchant category,,Elevated device risk | Higher-risk merchant category
T9038625,2025-01-19 02:10:00,C100021,M100021,Card Present,22.87,BR,17,0.286,0,0,1,374.2,0.304,0,0,0,True,True,48.0,1970-07-06,Mass,US,1.0,Low,0.02,Luxury,0.191,P2P,6.230099999999999,Low Risk,Monitor / sample audit,Weekly monitoring,['Geographic anomaly'],Geographic anomaly,,,Geographic anomaly
T9040236,2025-03-18 11:32:00,C100022,M100022,Card Not Present,34.28,IN,18,0.292,1,1,3,9.1,0.131,0,0,0,True,True,33.0,1970-05-25,Mass,AE,0.0,Medium,0.076,Electronics,0.136,Online Banking,25.72915,Medium Risk,Analyst review,Review within 24 hours,['New device activity'],New device activity,,,New device activity
T9000902,2025-01-27 04:22:00,C100023,M100023,Wire,51.06,CA,7,0.282,0,3,5,11.7,0.111,0,0,1,True,True,50.0,1970-01-05,Mass,IN,1.0,Low,0.476,Digital Wallet,0.117,Wire,35.76265,Medium Risk,Analyst review,Review within 24 hours,"['High-risk transaction channel', 'High short-term transaction velocity']",High-risk transaction channel,High short-term transaction velocity,,High-risk transaction channel | High short-term transaction velocity
T9057026,2025-01-02 16:37:00,C100024,M100024,Card Not Present,275.64,NG,0,0.146,0,1,4,554.0,0.109,1,0,0,True,True,28.0,1970-04-14,Mass,US,0.0,Medium,0.123,Fuel,0.19,Online Banking,28.36285,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'Geographic anomaly', 'Higher-risk merchant category']",Night-time transaction,Geographic anomaly,Higher-risk merchant category,Night-time transaction | Geographic anomaly | Higher-risk merchant category
T9057215,2025-03-29 14:28:00,C100025,M100025,P2P,62.88,IN,2,0.18,0,1,5,16.9,0.091,1,0,0,True,True,28.0,1970-04-05,Mass,IN,1.0,Low,0.293,Luxury,0.304,P2P,35.81215,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'High-risk transaction channel']",Night-time transaction,High-risk transaction channel,,Night-time transaction | High-risk transaction channel
T9034676,2025-01-02 00:37:00,C100026,M100026,P2P,232.49,UK,1,0.177,0,0,3,36.6,0.323,1,0,0,True,True,59.0,1970-02-25,Mass,UK,0.0,Medium,0.308,Grocery,0.137,Card Present,29.1417,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'High-risk transaction channel']",Night-time transaction,High-risk transaction channel,,Night-time transaction | High-risk transaction channel
T9037350,2025-01-08 19:08:00,C100027,M100027,Card Not Present,341.83,DE,6,0.493,0,0,1,1377.5,0.134,0,0,0,True,True,77.0,1970-06-27,Mass,AE,1.0,Medium,0.113,Gaming,0.388,Card Present,21.30585,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated device risk', 'Geographic anomaly', 'Higher-risk merchant category']",Elevated device risk,Geographic anomaly,Higher-risk merchant category,Elevated device risk | Geographic anomaly | Higher-risk merchant category
T9042253,2025-02-24 08:54:00,C100028,M100028,Card Present,27.38,GB,3,0.226,0,0,2,971.5,0.292,1,0,0,True,True,76.0,1970-07-06,Mass,US,0.0,Low,0.038,Gaming,0.083,P2P,27.672800000000002,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'Geographic anomaly', 'Higher-risk merchant category']",Night-time transaction,Geographic anomaly,Higher-risk merchant category,Night-time transaction | Geographic anomaly | Higher-risk merchant category
T9063326,2025-02-15 12:27:00,C100029,M100029,Card Present,184.4,UK,14,0.219,0,1,1,32.8,0.191,0,0,0,True,True,53.0,1970-02-03,Mass,AE,1.0,Medium,0.084,Grocery,0.058,Card Present,7.0754,Low Risk,Monitor / sample audit,Weekly monitoring,['No major behavioural trigger'],No major behavioural trigger,,,No major behavioural trigger
T9049802,2025-01-12 04:01:00,C100030,M100030,Card Not Present,20.67,DE,8,0.165,0,2,4,178.1,0.176,0,0,0,True,True,40.0,1970-02-17,Mass,US,1.0,Low,0.13,Gaming,0.069,Online Banking,16.739150000000002,Low Risk,Monitor / sample audit,Weekly monitoring,"['High short-term transaction velocity', 'Geographic anomaly', 'Higher-risk merchant category']",High short-term transaction velocity,Geographic anomaly,Higher-risk merchant category,High short-term transaction velocity | Geographic anomaly | Higher-risk merchant category
T9013983,2025-03-30 19:48:00,C100031,M100031,Card Present,41.16,IN,13,0.103,0,1,4,19.1,0.415,0,0,0,True,True,26.0,1970-01-06,Mass,UK,0.0,Low,0.128,Digital Wallet,0.228,Card Present,8.374500000000001,Low Risk,Monitor / sample audit,Weekly monitoring,['Elevated merchant risk'],Elevated merchant risk,,,Elevated merchant risk
T9009128,2025-01-05 23:58:00,C100032,M100032,Card Not Present,129.16,US,16,0.505,0,1,3,5.2,0.193,0,0,0,True,True,34.0,1970-04-06,Mass,US,0.0,Low,0.242,Fuel,0.398,Card Present,7.7332,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated device risk', 'Higher-risk merchant category']",Elevated device risk,Higher-risk merchant category,,Elevated device risk | Higher-risk merchant category
T9004859,2025-01-24 04:11:00,C100033,M100033,Card Not Present,17.55,NG,7,0.313,1,1,6,851.6,0.413,0,0,0,True,True,71.0,1970-01-23,Mass,IN,0.0,Low,0.098,Electronics,0.012,Wire,39.9142,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'Elevated merchant risk', 'Geographic anomaly']",New device activity,Elevated merchant risk,Geographic anomaly,New device activity | Elevated merchant risk | Geographic anomaly
T9012701,2025-03-23 16:11:00,C100034,M100034,Card Present,34.8,US,14,0.435,0,1,3,62.0,0.291,0,0,0,False,True,,,,,,,,Gaming,0.487,Card Present,8.5824,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated device risk', 'Geographic anomaly', 'Higher-risk merchant category']",Elevated device risk,Geographic anomaly,Higher-risk merchant category,Elevated device risk | Geographic anomaly | Higher-risk merchant category
