customer_id,age,tenure_months,segment,home_country,digital_only,kyc_risk_band,synthetic_identity_score
C101782,32,1970-01-01,Affluent,US,0,Low,0.126
C103917,37,1970-01-01,Affluent,IN,0,Low,0.508
C100221,54,1970-01-01,Mass,UK,1,Low,0.702
C102135,39,1970-01-01,Affluent,IN,1,Medium,0.035
C105224,49,1970-01-01,Mass,US,1,Low,0.17
C101168,55,1970-01-01,Mass,US,1,Low,0.014
C100879,27,1970-01-01,Mass,AE,0,Low,0.213
C100156,28,1970-01-01,Mass,SG,1,Low,0.516
C101657,67,1970-01-01,Mass,US,1,High,0.089
C100323,30,1970-01-01,Mass,IN,0,Low,0.06
C105302,73,1970-01-01,Mass,US,1,Medium,0.265
C102611,51,1970-01-01,Affluent,US,1,Medium,0.162
C100811,49,1970-01-01,Mass,US,0,Medium,0.163
C100393,34,1970-01-01,Mass,AE,1,Medium,0.325
C103593,58,1970-01-01,Mass,US,0,Low,0.033
C102638,26,1970-01-01,Mass,CA,0,Low,0.054
C102187,42,1970-01-01,Mass,US,1,Low,0.207
C105351,56,1970-01-01,Mass,UK,0,Low,0.249
C100319,65,1970-01-01,Mass,IN,0,Medium,0.411
C100167,30,1970-01-01,Affluent,US,1,Low,0.15
C100746,50,1970-01-01,Mass,UK,0,Medium,0.051
C105470,66,1970-01-01,Mass,US,1,Medium,0.191
C103707,71,1970-01-01,Mass,US,0,Medium,0.034
C102764,44,1970-01-01,Mass,US,0,Low,0.095
C105112,58,1970-01-02,Mass,UK,1,Medium,0.319
C104006,46,1970-01-02,Mass,US,1,Medium,0.261
C101871,47,1970-01-02,Mass,US,0,Medium,0.139
C105756,72,1970-01-02,Mass,UK,1,High,0.115
C103193,27,1970-01-02,Mass,CA,1,Low,0.226
C103754,59,1970-01-02,Mass,US,1,Low,0.145
C105625,39,1970-01-02,Mass,IN,1,Medium,0.118
C104894,62,1970-01-02,Affluent,SG,1,High,0.022
C104102,57,1970-01-02,Mass,US,1,High,0.106
C101261,18,1970-01-02,Mass,US,0,Low,0.364
C102338,71,1970-01-02,Mass,US,1,Low,0.135
C100084,25,1970-01-02,Mass,IN,1,Low,0.126
C103821,20,1970-01-02,Mass,US,0,High,0.1
C102653,45,1970-01-02,Mass,SG,0,Low,0.211
C105545,30,1970-01-02,Mass,AE,1,High,0.093
C102746,40,1970-01-02,Mass,AE,1,Medium,0.224
C102858,35,1970-01-02,SME,US,0,Medium,0.205
C100996,57,1970-01-02,Mass,UK,1,Low,0.159
C100228,57,1970-01-02,Mass,US,1,Low,0.221
C103264,24,1970-01-02,Affluent,US,1,Low,0.352
C104828,45,1970-01-02,Mass,UK,0,Medium,0.321
