merchant_id,merchant_category,merchant_risk_score,channel_default
M100000,Utilities,0.554,Card Not Present
M100001,Digital Wallet,0.162,P2P
M100002,Travel,0.449,Card Not Present
M100003,Electronics,0.315,Online Banking
M100004,Telecom,0.079,Online Banking
M100005,Fuel,0.442,P2P
M100006,Marketplace,0.365,Card Not Present
M100007,Electronics,0.148,Card Present
M100008,Digital Wallet,0.519,Wire
M100009,Telecom,0.319,Wire
M100010,Gaming,0.092,Card Present
M100011,Fuel,0.203,Wire
M100012,Telecom,0.071,Online Banking
M100013,Travel,0.578,Card Not Present
M100014,Gaming,0.302,P2P
M100015,Luxury,0.109,P2P
M100016,Telecom,0.021,Card Present
M100017,Electronics,0.209,Wire
M100018,Luxury,0.637,Online Banking
M100019,Fuel,0.218,Card Not Present
M100020,Gaming,0.101,P2P
M100021,Luxury,0.191,P2P
M100022,Electronics,0.136,Online Banking
M100023,Digital Wallet,0.117,Wire
M100024,Fuel,0.19,Online Banking
M100025,Luxury,0.304,P2P
M100026,Grocery,0.137,Card Present
M100027,Gaming,0.388,Card Present
M100028,Gaming,0.083,P2P
M100029,Grocery,0.058,Card Present
M100030,Gaming,0.069,Online Banking
M100031,Digital Wallet,0.228,Card Present
M100032,Fuel,0.398,Card Present
M100033,Electronics,0.012,Wire
M100034,Gaming,0.487,Card Present
M100035,Fuel,0.188,Card Present
M100036,Travel,0.427,Card Not Present
M100037,Telecom,0.475,P2P
M100038,Telecom,0.561,P2P
M100039,Telecom,0.374,P2P
M100040,Luxury,0.261,Wire
M100041,Fuel,0.479,Online Banking
M100042,Fuel,0.23,P2P
M100043,Grocery,0.44,Online Banking
M100044,Gaming,0.074,Card Not Present
M100045,Grocery,0.364,Wire
M100046,Fuel,0.122,Online Banking
M100047,Fuel,0.075,Card Present
M100048,Grocery,0.271,Card Present
M100049,Utilities,0.07,Card Not Present
M100050,Grocery,0.299,P2P
M100051,Electronics,0.148,P2P
M100052,Telecom,0.176,P2P
M100053,Gaming,0.377,Card Present
M100054,Digital Wallet,0.163,Wire
M100055,Marketplace,0.583,P2P
M100056,Marketplace,0.263,Card Not Present
M100057,Utilities,0.175,Wire
M100058,Gaming,0.024,P2P
M100059,Utilities,0.216,Card Present
M100060,Digital Wallet,0.135,Online Banking
M100061,Grocery,0.183,P2P
M100062,Luxury,0.155,Online Banking
M100063,Gaming,0.295,Card Present
M100064,Utilities,0.111,Card Not Present
M100065,Gaming,0.249,Card Not Present
M100066,Marketplace,0.12,Wire
M100067,Electronics,0.02,Card Present
M100068,Travel,0.309,Online Banking
M100069,Digital Wallet,0.478,Card Not Present
M100070,Travel,0.07,Card Present
M100071,Grocery,0.567,Online Banking
M100072,Electronics,0.475,Card Not Present
M100073,Electronics,0.121,P2P
M100074,Gaming,0.232,P2P
M100075,Luxury,0.206,Card Present
M100076,Electronics,0.443,Card Not Present
M100077,Luxury,0.077,Online Banking
M100078,Electronics,0.286,Card Not Present
M100079,Electronics,0.075,Card Present
M100080,Electronics,0.528,Card Not Present
M100081,Marketplace,0.247,Card Not Present
M100082,Travel,0.37,Card Present
M100083,Fuel,0.121,Wire
M100084,Utilities,0.234,Online Banking
M100085,Luxury,0.054,Card Present
M100086,Electronics,0.259,Card Present
M100087,Travel,0.458,Wire
M100088,Utilities,0.269,Wire
M100089,Grocery,0.193,P2P
M100090,Luxury,0.073,Card Not Present
M100091,Luxury,0.097,Card Present
M100092,Luxury,0.068,Wire
M100093,Utilities,0.121,P2P
M100094,Electronics,0.117,P2P
M100095,Digital Wallet,0.068,Wire
M100096,Luxury,0.632,P2P
M100097,Marketplace,0.063,Online Banking
M100098,Grocery,0.45,Card Present
M100099,Telecom,0.162,Card Present
M100100,Luxury,0.067,Online Banking
M100101,Utilities,0.08,P2P
M100102,Gaming,0.134,Card Not Present
M100103,Utilities,0.147,Card Not Present
M100104,Luxury,0.201,P2P
M100105,Marketplace,0.213,Card Present
M100106,Grocery,0.168,Card Not Present
M100107,Fuel,0.354,Card Present
M100108,Gaming,0.033,Wire
M100109,Electronics,0.053,Card Present
M100110,Telecom,0.198,P2P
M100111,Telecom,0.319,Online Banking
M100112,Gaming,0.686,Card Not Present
M100113,Utilities,0.376,Online Banking
M100114,Travel,0.181,Card Present
M100115,Fuel,0.427,Card Present
M100116,Telecom,0.378,Card Not Present
M100117,Electronics,0.292,Card Present
M100118,Utilities,0.114,Card Present
M100119,Gaming,0.513,Online Banking
M100120,Digital Wallet,0.313,Card Not Present
M100121,Utilities,0.08,Online Banking
M100122,Fuel,0.213,Online Banking
M100123,Fuel,0.225,Wire
M100124,Utilities,0.08,Card Present
M100125,Grocery,0.366,Card Present
M100126,Utilities,0.244,Card Present
M100127,Telecom,0.332,Wire
M100128,Electronics,0.291,Wire
M100129,Electronics,0.299,Card Present
M100130,Fuel,0.165,Card Present
M100131,Utilities,0.397,Card Not Present
M100132,Luxury,0.241,P2P
M100133,Travel,0.625,Card Present
M100134,Grocery,0.329,P2P
M100135,Grocery,0.071,P2P
M100136,Grocery,0.176,Wire
M100137,Digital Wallet,0.508,Card Not Present
M100138,Grocery,0.191,Wire
M100139,Telecom,0.138,Wire
M100140,Luxury,0.078,Wire
M100141,Marketplace,0.078,Wire
M100142,Gaming,0.159,P2P
M100143,Fuel,0.474,Card Not Present
M100144,Grocery,0.286,Online Banking
M100145,Utilities,0.355,Wire
M100146,Grocery,0.183,Wire
M100147,Utilities,0.221,Card Not Present
M100148,Gaming,0.451,Wire
M100149,Grocery,0.266,Wire
M100150,Gaming,0.046,Online Banking
M100151,Luxury,0.521,Wire
M100152,Digital Wallet,0.66,Card Not Present
M100153,Luxury,0.143,Card Not Present
M100154,Grocery,0.313,Online Banking
M100155,Grocery,0.094,P2P
M100156,Marketplace,0.502,Wire
M100157,Utilities,0.721,Online Banking
M100158,Gaming,0.1,Wire
M100159,Digital Wallet,0.25,Card Present
M100160,Electronics,0.337,Wire
M100161,Grocery,0.088,Online Banking
M100162,Fuel,0.077,Card Not Present
M100163,Grocery,0.091,Online Banking
M100164,Fuel,0.461,P2P
M100165,Grocery,0.16,Card Present
M100166,Electronics,0.251,Online Banking
M100167,Fuel,0.113,P2P
M100168,Electronics,0.269,Card Present
M100169,Grocery,0.415,Online Banking
M100170,Fuel,0.309,Wire
M100171,Digital Wallet,0.072,Card Not Present
M100172,Utilities,0.483,Card Not Present
M100173,Gaming,0.191,Online Banking
M100174,Utilities,0.053,Card Not Present
M100175,Telecom,0.131,P2P
M100176,Gaming,0.282,P2P
M100177,Luxury,0.135,Card Not Present
M100178,Telecom,0.561,Online Banking
M100179,Luxury,0.673,P2P
M100180,Travel,0.058,Card Present
M100181,Electronics,0.229,Wire
M100182,Fuel,0.341,Online Banking
M100183,Electronics,0.39,Card Present
M100184,Gaming,0.413,P2P
M100185,Luxury,0.609,Card Not Present
M100186,Utilities,0.155,Card Present
M100187,Digital Wallet,0.363,P2P
M100188,Electronics,0.264,Card Present
M100189,Fuel,0.06,Card Not Present
M100190,Electronics,0.469,Wire
M100191,Marketplace,0.145,Card Present
M100192,Luxury,0.604,Card Not Present
M100193,Electronics,0.052,P2P
M100194,Digital Wallet,0.291,Card Not Present
M100195,Telecom,0.24,Wire
M100196,Grocery,0.163,Wire
M100197,Digital Wallet,0.612,Card Not Present
M100198,Gaming,0.171,Wire
M100199,Grocery,0.353,Card Present
M100200,Luxury,0.292,Wire
M100201,Marketplace,0.247,Card Present
M100202,Marketplace,0.316,Online Banking
M100203,Luxury,0.359,Wire
M100204,Luxury,0.136,Card Present
M100205,Digital Wallet,0.308,Online Banking
M100206,Travel,0.213,Online Banking
M100207,Marketplace,0.187,Online Banking
M100208,Gaming,0.323,P2P
M100209,Telecom,0.072,Wire
M100210,Travel,0.618,Card Present
M100211,Telecom,0.281,P2P
M100212,Telecom,0.39,P2P
M100213,Electronics,0.377,Card Present
M100214,Travel,0.158,Card Not Present
M100215,Electronics,0.177,Card Present
M100216,Gaming,0.174,Online Banking
M100217,Gaming,0.19,Online Banking
M100218,Travel,0.425,P2P
M100219,Gaming,0.097,Online Banking
M100220,Utilities,0.554,Card Not Present
M100221,Digital Wallet,0.162,P2P
M100222,Travel,0.449,Card Not Present
M100223,Electronics,0.315,Online Banking
M100224,Telecom,0.079,Online Banking
M100225,Fuel,0.442,P2P
M100226,Marketplace,0.365,Card Not Present
M100227,Electronics,0.148,Card Present
M100228,Digital Wallet,0.519,Wire
M100229,Telecom,0.319,Wire
M100230,Gaming,0.092,Card Present
M100231,Fuel,0.203,Wire
M100232,Telecom,0.071,Online Banking
M100233,Travel,0.578,Card Not Present
M100234,Gaming,0.302,P2P
M100235,Luxury,0.109,P2P
M100236,Telecom,0.021,Card Present
M100237,Electronics,0.209,Wire
M100238,Luxury,0.637,Online Banking
M100239,Fuel,0.218,Card Not Present
M100240,Gaming,0.101,P2P
M100241,Luxury,0.191,P2P
M100242,Electronics,0.136,Online Banking
M100243,Digital Wallet,0.117,Wire
M100244,Fuel,0.19,Online Banking
M100245,Luxury,0.304,P2P
M100246,Grocery,0.137,Card Present
M100247,Gaming,0.388,Card Present
M100248,Gaming,0.083,P2P
M100249,Grocery,0.058,Card Present
M100250,Gaming,0.069,Online Banking
M100251,Digital Wallet,0.228,Card Present
M100252,Fuel,0.398,Card Present
M100253,Electronics,0.012,Wire
M100254,Gaming,0.487,Card Present
M100255,Fuel,0.188,Card Present
M100256,Travel,0.427,Card Not Present
M100257,Telecom,0.475,P2P
M100258,Telecom,0.561,P2P
M100259,Telecom,0.374,P2P
M100260,Luxury,0.261,Wire
M100261,Fuel,0.479,Online Banking
M100262,Fuel,0.23,P2P
M100263,Grocery,0.44,Online Banking
M100264,Gaming,0.074,Card Not Present
M100265,Grocery,0.364,Wire
M100266,Fuel,0.122,Online Banking
M100267,Fuel,0.075,Card Present
M100268,Grocery,0.271,Card Present
M100269,Utilities,0.07,Card Not Present
M100270,Grocery,0.299,P2P
M100271,Electronics,0.148,P2P
M100272,Telecom,0.176,P2P
M100273,Gaming,0.377,Card Present
M100274,Digital Wallet,0.163,Wire
M100275,Marketplace,0.583,P2P
M100276,Marketplace,0.263,Card Not Present
M100277,Utilities,0.175,Wire
M100278,Gaming,0.024,P2P
M100279,Utilities,0.216,Card Present
M100280,Digital Wallet,0.135,Online Banking
M100281,Grocery,0.183,P2P
M100282,Luxury,0.155,Online Banking
M100283,Gaming,0.295,Card Present
M100284,Utilities,0.111,Card Not Present
M100285,Gaming,0.249,Card Not Present
M100286,Marketplace,0.12,Wire
M100287,Electronics,0.02,Card Present
M100288,Travel,0.309,Online Banking
M100289,Digital Wallet,0.478,Card Not Present
M100290,Travel,0.07,Card Present
M100291,Grocery,0.567,Online Banking
M100292,Electronics,0.475,Card Not Present
M100293,Electronics,0.121,P2P
M100294,Gaming,0.232,P2P
M100295,Luxury,0.206,Card Present
M100296,Electronics,0.443,Card Not Present
M100297,Luxury,0.077,Online Banking
M100298,Electronics,0.286,Card Not Present
M100299,Electronics,0.075,Card Present
M100300,Electronics,0.528,Card Not Present
M100301,Marketplace,0.247,Card Not Present
M100302,Travel,0.37,Card Present
M100303,Fuel,0.121,Wire
M100304,Utilities,0.234,Online Banking
M100305,Luxury,0.054,Card Present
M100306,Electronics,0.259,Card Present
M100307,Travel,0.458,Wire
M100308,Utilities,0.269,Wire
M100309,Grocery,0.193,P2P
M100310,Luxury,0.073,Card Not Present
M100311,Luxury,0.097,Card Present
M100312,Luxury,0.068,Wire
M100313,Utilities,0.121,P2P
M100314,Electronics,0.117,P2P
M100315,Digital Wallet,0.068,Wire
M100316,Luxury,0.632,P2P
M100317,Marketplace,0.063,Online Banking
M100318,Grocery,0.45,Card Present
M100319,Telecom,0.162,Card Present
M100320,Luxury,0.067,Online Banking
M100321,Utilities,0.08,P2P
M100322,Gaming,0.134,Card Not Present
M100323,Utilities,0.147,Card Not Present
M100324,Luxury,0.201,P2P
M100325,Marketplace,0.213,Card Present
M100326,Grocery,0.168,Card Not Present
M100327,Fuel,0.354,Card Present
M100328,Gaming,0.033,Wire
M100329,Electronics,0.053,Card Present
M100330,Telecom,0.198,P2P
M100331,Telecom,0.319,Online Banking
M100332,Gaming,0.686,Card Not Present
M100333,Utilities,0.376,Online Banking
M100334,Travel,0.181,Card Present
M100335,Fuel,0.427,Card Present
M100336,Telecom,0.378,Card Not Present
M100337,Electronics,0.292,Card Present
M100338,Utilities,0.114,Card Present
M100339,Gaming,0.513,Online Banking
M100340,Digital Wallet,0.313,Card Not Present
M100341,Utilities,0.08,Online Banking
M100342,Fuel,0.213,Online Banking
M100343,Fuel,0.225,Wire
M100344,Utilities,0.08,Card Present
M100345,Grocery,0.366,Card Present
M100346,Utilities,0.244,Card Present
M100347,Telecom,0.332,Wire
M100348,Electronics,0.291,Wire
M100349,Electronics,0.299,Card Present
M100350,Fuel,0.165,Card Present
M100351,Utilities,0.397,Card Not Present
M100352,Luxury,0.241,P2P
M100353,Travel,0.625,Card Present
M100354,Grocery,0.329,P2P
M100355,Grocery,0.071,P2P
M100356,Grocery,0.176,Wire
M100357,Digital Wallet,0.508,Card Not Present
M100358,Grocery,0.191,Wire
M100359,Telecom,0.138,Wire
M100360,Luxury,0.078,Wire
M100361,Marketplace,0.078,Wire
M100362,Gaming,0.159,P2P
M100363,Fuel,0.474,Card Not Present
M100364,Grocery,0.286,Online Banking
M100365,Utilities,0.355,Wire
M100366,Grocery,0.183,Wire
M100367,Utilities,0.221,Card Not Present
M100368,Gaming,0.451,Wire
M100369,Grocery,0.266,Wire
M100370,Gaming,0.046,Online Banking
M100371,Luxury,0.521,Wire
M100372,Digital Wallet,0.66,Card Not Present
M100373,Luxury,0.143,Card Not Present
M100374,Grocery,0.313,Online Banking
M100375,Grocery,0.094,P2P
M100376,Marketplace,0.502,Wire
M100377,Utilities,0.721,Online Banking
M100378,Gaming,0.1,Wire
M100379,Digital Wallet,0.25,Card Present
M100380,Electronics,0.337,Wire
M100381,Grocery,0.088,Online Banking
M100382,Fuel,0.077,Card Not Present
M100383,Grocery,0.091,Online Banking
M100384,Fuel,0.461,P2P
M100385,Grocery,0.16,Card Present
M100386,Electronics,0.251,Online Banking
M100387,Fuel,0.113,P2P
M100388,Electronics,0.269,Card Present
M100389,Grocery,0.415,Online Banking
M100390,Fuel,0.309,Wire
M100391,Digital Wallet,0.072,Card Not Present
M100392,Utilities,0.483,Card Not Present
M100393,Gaming,0.191,Online Banking
M100394,Utilities,0.053,Card Not Present
M100395,Telecom,0.131,P2P
M100396,Gaming,0.282,P2P
M100397,Luxury,0.135,Card Not Present
M100398,Telecom,0.561,Online Banking
M100399,Luxury,0.673,P2P
M100400,Travel,0.058,Card Present
M100401,Electronics,0.229,Wire
M100402,Fuel,0.341,Online Banking
M100403,Electronics,0.39,Card Present
M100404,Gaming,0.413,P2P
M100405,Luxury,0.609,Card Not Present
M100406,Utilities,0.155,Card Present
M100407,Digital Wallet,0.363,P2P
M100408,Electronics,0.264,Card Present
M100409,Fuel,0.06,Card Not Present
M100410,Electronics,0.469,Wire
M100411,Marketplace,0.145,Card Present
M100412,Luxury,0.604,Card Not Present
M100413,Electronics,0.052,P2P
M100414,Digital Wallet,0.291,Card Not Present
M100415,Telecom,0.24,Wire
M100416,Grocery,0.163,Wire
M100417,Digital Wallet,0.612,Card Not Present
M100418,Gaming,0.171,Wire
M100419,Grocery,0.353,Card Present
M100420,Luxury,0.292,Wire
M100421,Marketplace,0.247,Card Present
M100422,Marketplace,0.316,Online Banking
M100423,Luxury,0.359,Wire
M100424,Luxury,0.136,Card Present
M100425,Digital Wallet,0.308,Online Banking
M100426,Travel,0.213,Online Banking
M100427,Marketplace,0.187,Online Banking
M100428,Gaming,0.323,P2P
M100429,Telecom,0.072,Wire
M100430,Travel,0.618,Card Present
M100431,Telecom,0.281,P2P
M100432,Telecom,0.39,P2P
M100433,Electronics,0.377,Card Present
M100434,Travel,0.158,Card Not Present
M100435,Electronics,0.177,Card Present
M100436,Gaming,0.174,Online Banking
M100437,Gaming,0.19,Online Banking
M100438,Travel,0.425,P2P
M100439,Gaming,0.097,Online Banking
M100440,Utilities,0.554,Card Not Present
M100441,Digital Wallet,0.162,P2P
M100442,Travel,0.449,Card Not Present
M100443,Electronics,0.315,Online Banking
M100444,Telecom,0.079,Online Banking
M100445,Fuel,0.442,P2P
M100446,Marketplace,0.365,Card Not Present
M100447,Electronics,0.148,Card Present
M100448,Digital Wallet,0.519,Wire
M100449,Telecom,0.319,Wire
M100450,Gaming,0.092,Card Present
M100451,Fuel,0.203,Wire
M100452,Telecom,0.071,Online Banking
M100453,Travel,0.578,Card Not Present
M100454,Gaming,0.302,P2P
M100455,Luxury,0.109,P2P
M100456,Telecom,0.021,Card Present
M100457,Electronics,0.209,Wire
M100458,Luxury,0.637,Online Banking
M100459,Fuel,0.218,Card Not Present
M100460,Gaming,0.101,P2P
M100461,Luxury,0.191,P2P
M100462,Electronics,0.136,Online Banking
M100463,Digital Wallet,0.117,Wire
M100464,Fuel,0.19,Online Banking
M100465,Luxury,0.304,P2P
